,Tourist_Spot,Address,Zipcode,coordinate
58,Hell Gate Bridge,"Hell gate bridge Manhattan, NY, South Bronx",11105,"(40.7825959, -73.9219127)"
59,Hershey's Chocolate World Times Square,"1593 Broadway Manhattan, NY 10019, Times Square/Theatre District",10019,"(40.7579747, -73.9855426)"
60,Historic Richmond Town,"441 Clarke Ave. Staten Island, NY 10306 Richmond Town",10306,"(40.5709205, -74.1456038)"
61,Holographic Studios,"240 E. 26th St. New York, NY 10010, Chelsea",10010,"(40.7398482, -73.98015029999999)"
62,Hunters Point Community Library,"47 Center Blvd. Queens, NY 11101",11101,"(40.745047, -73.9578562)"
63,"Intrepid Sea, Air & Space Museum","Pier 86, Twelfth Ave. at 46th St. Manhattan, NY 10036, Hells Kitchen",10036,"(40.7645917, -73.9990816)"
64,Irish Hunger Memorial,"290 Vesey St Manhattan, NY 10281, Battery Park City",10281,"(40.7150959, -74.0171889)"
65,Jacqueline Kennedy Onassis Reservoir,"Bet 86th and 96th Sts Manhattan, NY 10024, Central Park",10024,"(40.7825547, -73.9655834)"
66,James A. Farley Post Office,"421 Eighth Ave. Manhattan, NY 10001, Chelsea",10001,"(40.7511994, -73.9953871)"
67,Jane's Carousel,"Dock Street Brooklyn, NY 11201, DUMBO",11201,"(40.7033266, -73.9925645)"
68,Jazz at Lincoln Center,"Frederick P. Rose Hall, Broadway at 60th St. Manhattan, NY 10019, Upper West Side",10019,"(40.7687363, -73.982525)"
69,Jeffrey's Hook Lighthouse,"Fort Washington Park Manhattan , NY 10033, Washington Heights/Inwood",10033,"(40.85067129999999, -73.9452115)"
70,Loeb Central Park Boathouse,"Central Park, enter at Fifth Ave. & 72nd St. Manhattan, NY 10028, Central Park",10028,"(40.7740154, -73.9489141)"
71,Luna Park at Coney Island,"1000 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,"(40.5752568, -73.9785149)"
72,Macy's Herald Square,"151 W. 34th St. Manhattan, NY 10001, Herald Square",10001,"(40.7508631, -73.98906339999999)"
73,Madison Square Garden,"2 Penn Plaza Manhattan, NY 10121, Midtown West",10121,"(40.7501172, -73.9925793)"
74,Mahayana Buddhist Temple,"133 Canal St Manhattan, NY 10002, Chinatown",10002,"(40.7162972, -73.9953365)"
75,McCarren Park,"Lorimer St. between Bayard St. and Driggs Ave. Brooklyn, NY, Williamsburg",11222,"(40.7139225, -73.9493905)"
